10,10,-82.971729,40.077011
25,25,-83.042869,39.989008
50,50,-83.051337,40.051999
51,51,-83.004766,40.021132
70,70,-83.055313,40.052343
75,75,-82.9242,39.941536
90,90,-82.892536,40.122974
95,95,-82.507857,40.762793
100,100,-82.968031,40.000575
101,101,-82.929214,40.016566
115,115,-82.989062,39.963346
125,125,-82.991619,39.942019
150,150,-82.989832,39.962226
155,155,-83.756789,40.256757
165,165,-82.889124,39.956175
175,175,-82.9559,40.10829
250,250,-82.959856,39.948929
275,275,-83.000634,40.062178
300,300,-83.019459,40.045974
325,325,-83,39.97
339,36880,-82.958342,40.056808
344,25330,-83.04291,40.13873
359,40205,-82.87957,39.92589
375,375,-82.961941,39.981926
377,33990,-83.02049,39.993137
380,380,-82.954369,39.937796
385,385,-82.977517,40.082151
390,390,-82.880973,39.976118
391,391,-82.980588,39.964158
395,395,-82.771533,39.78526
400,400,-82.98676,39.955988
401,401,-83.000607,39.957661
406,406,-82.947286,39.602694
412,26655,-82.999872,39.977279
500,500,-82.961941,39.981926
510,510,-82.957296,39.948824
523,523,-83.10252,40.092766
524,524,-81.612349,41.01229
580,24590,-83.075317,39.973891
600,600,-82.980824,39.959322
681,85,-82.9782,40.00687
695,6390,-82.877067,40.018566
697,130,-82.789757,39.928838
750,750,-82.988628,39.963392
757,6490,-82.87728,39.9442
759,5035,-82.996543,39.963344
850,850,-83.45939,39.894781
940,940,-83.001751,40.024922
950,950,-83.055268,40.02716
970,970,-82.908619,40.02198
1000,1000,-82.946425,39.959797
1170,1170,-83.00083,39.96189
1180,1180,-83.016936,39.978688
1185,1185,-83.123634,40.07979
1200,1200,-81.655812,41.505409
1300,1300,-83.076853,40.03573
1350,1350,-83.115632,39.99275
1380,1380,-82.989438,40.043959
1400,1400,-82.973958,39.965047
1450,1450,-83.006126,40.001514
1500,1500,-82.979626,40.046884
1628,1628,-83.13,40.07
1635,1635,-83.162838,40.029125
1675,1675,-83.063106,40.050418
1700,1700,-83.111009,40.030287
1705,1705,-83.06945,39.99586
1900,1900,-83.059198,39.953776
1950,1950,-82.932587,39.970297
2000,2000,-83.063379,39.983221
2010,2010,-83.066205,40.051892
2090,2090,-82.992767,39.969439
2100,2100,-82.7361,39.954063
2900,2900,-83.051302,39.974224
2950,2950,-83.006461,39.986363
3310,3310,-82.843186,39.948922
3315,3315,-82.93031,39.963665
3325,3325,-82.934384,39.956869
3340,3340,-82.942539,39.972589
3360,3360,-83.100235,39.929915
3455,3455,-82.961941,39.981926
3501,3501,-83.019411,40.059661
3550,3550,-82.905001,40.097541
3600,3600,-82.967747,40.086349
3700,3700,-83.015518,39.957913
3701,3701,-82.989131,39.984665
3750,3750,-82.968493,39.960287
3760,3760,-82.996109,39.954
3775,3775,-82.927234,39.956679
4200,4200,-82.9783,39.96515
4225,4225,-83.075144,39.932333
4250,4250,-82.92566,39.94707
4251,4251,-82.92566,39.94707
4400,4400,-82.936197,40.081134
4500,4500,-83.07425,39.848643
4520,4520,-83.07425,39.848643
4600,4600,-82.854003,39.995364
4650,4650,-82.905411,39.935869
4651,4651,-83.080526,39.95491
4685,4685,-83.006147,40.119449
4775,4775,-83.06534,39.98973
4800,4800,-83.06534,39.98973
4803,4803,-83.06534,39.98973
4900,4900,-83.001697,39.966535
5020,5020,-82.969606,39.978339
5030,5030,-83.07415,39.99673
5040,5040,-82.948128,39.993152
5050,5050,-83,39.97
5060,5060,-83.047621,39.996425
5070,5070,-82.89278,40.100635
5071,5071,-81.665043,41.50249
5075,5075,-82.99872,39.960119
5078,5078,-82.992259,39.96285
5090,5090,-82.999785,40.057353
5120,5120,-82.995404,39.964083
5140,5140,-87.633194,41.899534
5145,5145,-82.97609,39.96331
5150,5150,-83.019335,40.079263
5165,5165,-83.010952,40.001924
5200,5200,-82.889723,40.09989
5250,5250,-82.80366,39.841351
5300,5300,-82.968534,39.95799
5400,5400,-83.123788,40.193895
5600,5600,-83.008313,39.984276
5650,5650,-83.009499,39.966692
5700,5700,-83.019165,40.074113
5775,5775,-82.94298,40.10298
5790,5790,-83.064549,40.036539
5800,5800,-83.059876,40.052099
5825,5825,-82.914486,40.013688
5845,5845,-83.042685,40.033497
5850,5850,-83.059284,39.957367
5851,5851,-84.154203,39.736065
5900,5900,-83.079297,39.954431
6025,6025,-82.91193,39.95628
6200,6200,-82.999583,40.052635
6400,6400,-83,39.97
6500,6500,-82.976405,39.950867
6575,6575,-83.043136,40.044599
6580,6580,-82.844774,39.961877
6585,6585,-82.989961,39.963236
6590,6590,-82.989062,39.963346
6600,6600,-82.979302,39.95251
6671,6671,-82.830717,39.980154
6672,6672,-82.948035,40.137663
6673,6673,-83.144238,40.10003
6674,6674,-82.98,39.96
6676,6676,-83.137303,40.033529
6677,6677,-82.869531,40.01878
6690,6690,-83.01119,39.99006
6700,6700,-82.952281,40.055357
6725,6725,-83.082086,40.064188
6750,6750,-82.947371,40.012068
6800,6800,-82.960325,40.018632
7200,7200,-83.016513,39.966427
7300,7300,-82.956326,40.021879
7305,7305,-83.063528,39.979591
7310,7310,-83.11105,39.91242
7325,7325,-82.9783,39.96515
7340,7340,-82.919909,40.078547
7342,7342,-83.134133,40.104566
7344,7344,-83.089777,39.954412
7345,7345,-83.000388,39.959865
7355,7355,-83.006334,39.959825
7360,7360,-82.997227,39.959694
7380,7380,-82.89504,40.098321
7387,7387,-82.93401,39.92569
7400,7400,-83.114858,40.014565
7700,7700,-82.98709,39.92365
7750,7750,-82.961941,39.981926
7800,7800,-83.015354,40.0276
7850,7850,-83.039289,40.056582
